	386	387	388	389	390	391	392	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423	424	425	426	427	428	429	430	431	432	433	434	435	436	437	438	439	440	441	442	443	444	445	446	447	448	449	450	451	452	453	454	455	456	457	458	459	460	461	462	463	464	465	466	467	468	469	470	471	472	473	474	475	476	477	478	479	480	481	482	483	484	485	486	487	488	489	490	491	492	493	494	495	496	497	498	499	500	501	502	503	504	505	506	507	508	509	510
1	-0.0338215	-0.0260443	-0.0180134	-0.00908654	0.00747117	0.0361061	0.0761308	0.130143	0.206986	0.310559	0.426755	0.523362	0.56896	0.562248	0.537384	0.529088	0.545657	0.580604	0.62818	0.68204	0.737174	0.793605	0.847561	0.888171	0.909204	0.913273	0.907778	0.903484	0.906594	0.911977	0.910798	0.901951	0.894123	0.89596	0.906685	0.921416	0.942421	0.97797	1.02935	1.08367	1.12189	1.13605	1.13806	1.14224	1.14588	1.14067	1.1273	1.11001	1.09288	1.08029	1.07374	1.07078	1.07102	1.0807	1.10652	1.14347	1.17098	1.17345	1.16105	1.15405	1.15965	1.17184	1.17806	1.16523	1.13416	1.1082	1.1101	1.12925	1.12957	1.09449	1.04576	1.01375	1.00531	1.00569	1.00419	1.00424	1.00932	1.01635	1.02414	1.0363	1.05446	1.07497	1.09546	1.12031	1.15427	1.19377	1.22964	1.25762	1.28233	1.31059	1.34432	1.38261	1.42442	1.46259	1.48743	1.50065	1.51533	1.54247	1.58128	1.62397	1.66647	1.7087	1.75089	1.79477	1.84251	1.89371	1.94674	1.99938	2.04952	2.09652	2.14035	2.18308	2.22865	2.27375	2.30716	2.32455	2.33353	2.34536	2.36473	2.38378	2.39203	2.39057	2.38885	2.39235	2.40095
2	-0.0333006	-0.0279914	-0.0187821	-0.00690126	0.00934193	0.0345408	0.0723758	0.126939	0.205308	0.311081	0.429309	0.525291	0.569236	0.562884	0.538192	0.528436	0.54429	0.578857	0.625484	0.680768	0.739603	0.797536	0.849682	0.888875	0.910856	0.915584	0.908522	0.902125	0.904943	0.91249	0.914091	0.906211	0.897402	0.89707	0.905219	0.919738	0.94359	0.980512	1.03	1.08299	1.12175	1.13532	1.13385	1.13429	1.13731	1.13337	1.12199	1.10905	1.09573	1.08235	1.0724	1.06696	1.06737	1.08014	1.10821	1.14321	1.16858	1.17177	1.15903	1.15051	1.15725	1.17199	1.17927	1.16562	1.13348	1.10819	1.1105	1.12783	1.12675	1.09216	1.04489	1.01407	1.00553	1.00578	1.00464	1.00528	1.0113	1.01757	1.02216	1.03154	1.04947	1.07218	1.09611	1.12386	1.15845	1.19648	1.23069	1.25862	1.28421	1.31267	1.34629	1.38527	1.4281	1.46667	1.49054	1.50065	1.51093	1.53479	1.5731	1.61766	1.66139	1.70277	1.74514	1.79194	1.84262	1.89532	1.94881	1.99998	2.04705	2.09258	2.13762	2.18166	2.2277	2.27359	2.30722	2.32375	2.33345	2.34843	2.36931	2.38774	2.3975	2.39756	2.3935	2.39237	2.39706
3	-0.0318609	-0.0281564	-0.0226026	-0.0114328	0.00867948	0.038242	0.077181	0.13025	0.206961	0.311554	0.428501	0.52307	0.566029	0.559285	0.534431	0.524259	0.540819	0.578839	0.628266	0.682412	0.739366	0.797904	0.851656	0.890488	0.909523	0.91201	0.906777	0.904133	0.908294	0.913927	0.911801	0.900558	0.890375	0.890375	0.900203	0.917078	0.942547	0.980455	1.03068	1.08342	1.12163	1.13609	1.1372	1.14056	1.14452	1.13866	1.1243	1.10845	1.09331	1.08062	1.07211	1.06715	1.06782	1.08059	1.10767	1.14165	1.16741	1.1718	1.16042	1.15246	1.1575	1.17066	1.17799	1.16459	1.13343	1.10933	1.11241	1.13082	1.13002	1.09419	1.04544	1.01473	1.00754	1.00756	1.00538	1.0056	1.01066	1.0159	1.02087	1.03266	1.053	1.07526	1.09712	1.12348	1.1581	1.19694	1.23152	1.25935	1.28428	1.3107	1.34284	1.38255	1.42576	1.46399	1.48987	1.50353	1.51593	1.53955	1.57647	1.621	1.66589	1.70776	1.7506	1.79639	1.84283	1.89302	1.9493	2.00485	2.0532	2.09528	2.1357	2.17771	2.22246	2.26712	2.30275	2.32376	2.33572	2.34918	2.36804	2.38512	2.39206	2.39027	2.38822	2.39025	2.39629
4	-0.0404486	-0.033926	-0.0252422	-0.0145313	0.00289216	0.0307138	0.0696037	0.123666	0.201469	0.306478	0.424422	0.52192	0.567573	0.560626	0.533502	0.521546	0.536507	0.571482	0.619687	0.677039	0.737194	0.795401	0.847486	0.885908	0.905861	0.909826	0.905056	0.901259	0.904671	0.910233	0.907877	0.897222	0.888365	0.890001	0.901131	0.917197	0.941562	0.98115	1.03364	1.08599	1.12184	1.13387	1.1333	1.13544	1.13897	1.13554	1.12512	1.11105	1.09638	1.08499	1.07761	1.07229	1.07139	1.08214	1.10867	1.14401	1.16946	1.17136	1.15819	1.14958	1.15502	1.16928	1.178	1.16608	1.13474	1.1094	1.11245	1.13063	1.12736	1.0891	1.0408	1.01171	1.00524	1.00674	1.0066	1.00644	1.00983	1.01581	1.02264	1.03281	1.04874	1.06872	1.09181	1.12063	1.1568	1.19571	1.22988	1.25761	1.28371	1.31364	1.34867	1.38708	1.42861	1.46863	1.49545	1.50774	1.5203	1.54505	1.58102	1.62234	1.66513	1.70732	1.74973	1.79583	1.84591	1.89774	1.9502	2.0026	2.05409	2.10141	2.14368	2.18663	2.2337	2.27989	2.31504	2.3335	2.34244	2.35571	2.37784	2.39986	2.41148	2.4117	2.40737	2.40545	2.41141
5	-0.0391564	-0.0332835	-0.0261824	-0.0150786	0.00348916	0.0317651	0.0716809	0.126346	0.203062	0.306675	0.423681	0.519836	0.564335	0.558161	0.53271	0.521316	0.536394	0.57224	0.6213	0.678723	0.738507	0.795712	0.846698	0.885118	0.905014	0.907309	0.90157	0.899649	0.903825	0.907219	0.905238	0.89841	0.891449	0.891772	0.901112	0.91604	0.938566	0.974992	1.02576	1.08031	1.11977	1.13317	1.13292	1.13666	1.14186	1.13825	1.12701	1.11332	1.09825	1.08345	1.07273	1.06757	1.06886	1.08103	1.10738	1.14262	1.16961	1.17241	1.15857	1.15004	1.15605	1.17008	1.17745	1.16419	1.1338	1.11026	1.11326	1.1308	1.12833	1.09078	1.04082	1.00948	1.00157	1.00086	0.9995	1.00234	1.0101	1.01733	1.02261	1.03161	1.04861	1.07034	1.09385	1.12203	1.15716	1.19626	1.23257	1.26202	1.28772	1.31551	1.34842	1.38662	1.42817	1.46638	1.49169	1.5032	1.51479	1.54056	1.57995	1.6247	1.66921	1.71211	1.75492	1.79909	1.84597	1.89801	1.95499	2.01085	2.05952	2.10161	2.14137	2.18331	2.23141	2.28175	2.32016	2.33714	2.3411	2.351	2.37393	2.39739	2.40782	2.40627	2.4039	2.40684	2.41435
6	-0.0389335	-0.0323351	-0.0254355	-0.0154487	0.00259891	0.0306723	0.0698769	0.12383	0.200793	0.305941	0.42514	0.523277	0.56783	0.558686	0.530757	0.52057	0.538182	0.575019	0.622748	0.677215	0.735371	0.794521	0.848173	0.885591	0.903231	0.906553	0.902494	0.899653	0.903471	0.909143	0.90792	0.899491	0.893016	0.895516	0.905475	0.919816	0.941459	0.976404	1.02573	1.07925	1.11826	1.13285	1.13456	1.13904	1.14366	1.13861	1.12552	1.11174	1.09935	1.08666	1.07536	1.06889	1.06943	1.08099	1.10682	1.14157	1.16845	1.17324	1.16236	1.15442	1.15859	1.17003	1.17605	1.1629	1.13222	1.10773	1.11022	1.12825	1.12586	1.08832	1.04029	1.01105	1.0048	1.00641	1.00473	1.00325	1.00781	1.01561	1.0233	1.03479	1.05309	1.0745	1.09595	1.12145	1.1558	1.19531	1.23056	1.25752	1.28171	1.31047	1.34539	1.38529	1.42835	1.46663	1.49076	1.50277	1.51597	1.54217	1.58064	1.62375	1.66714	1.70956	1.75165	1.79621	1.84596	1.90004	1.95462	2.00713	2.05702	2.10348	2.14646	2.18899	2.23438	2.27927	2.31294	2.33009	2.33968	2.35426	2.37598	2.39588	2.40503	2.4046	2.40236	2.40354	2.41085
7	-0.020867	-0.0139213	-0.00626855	0.0036995	0.0195525	0.0450086	0.0828107	0.137196	0.215161	0.31999	0.437166	0.532233	0.57515	0.56768	0.542902	0.534172	0.55007	0.583681	0.630003	0.685819	0.745713	0.804489	0.856114	0.892809	0.910408	0.911702	0.90637	0.905332	0.911394	0.91773	0.916527	0.907853	0.899328	0.899116	0.908246	0.92297	0.945586	0.98275	1.03416	1.08712	1.1228	1.13427	1.13528	1.1406	1.1464	1.14308	1.1311	1.11492	1.09811	1.08445	1.07616	1.07363	1.07713	1.08927	1.1136	1.14636	1.17214	1.17633	1.16432	1.15691	1.16407	1.1774	1.18252	1.1682	1.1375	1.11307	1.1154	1.13391	1.13338	1.09747	1.04967	1.02066	1.01433	1.01496	1.01338	1.01363	1.01832	1.02312	1.02758	1.03726	1.05464	1.07649	1.1001	1.12747	1.16201	1.20165	1.2376	1.26463	1.28787	1.31521	1.34894	1.38715	1.42748	1.46388	1.48803	1.50133	1.51631	1.54144	1.57604	1.6183	1.6631	1.70384	1.74379	1.78848	1.8356	1.88447	1.93758	1.99211	2.0428	2.08735	2.12835	2.17099	2.21616	2.25934	2.29374	2.31431	2.32334	2.33325	2.35276	2.37277	2.38137	2.38058	2.37844	2.37892	2.3856
8	-0.0242426	-0.0189791	-0.0109558	1.01E-05	0.0186173	0.0479337	0.0880678	0.141945	0.217725	0.320803	0.437208	0.532148	0.575379	0.568348	0.543405	0.533717	0.549422	0.584326	0.631623	0.686013	0.743215	0.801539	0.854738	0.892175	0.910263	0.913029	0.908586	0.906796	0.911033	0.915817	0.914557	0.906836	0.89912	0.899029	0.907857	0.922826	0.946565	0.983825	1.03234	1.0821	1.11815	1.13272	1.13618	1.14165	1.14667	1.14254	1.12952	1.1137	1.09869	1.0864	1.07819	1.07394	1.07526	1.08739	1.11381	1.14853	1.17393	1.17531	1.16122	1.15415	1.16273	1.17762	1.18404	1.16977	1.13819	1.11328	1.11578	1.13474	1.13483	1.10034	1.0538	1.02357	1.01465	1.01346	1.01066	1.00971	1.01469	1.02296	1.03105	1.04125	1.05744	1.07756	1.09897	1.1254	1.16042	1.19948	1.23442	1.26289	1.2887	1.31703	1.35001	1.38661	1.42655	1.46509	1.49107	1.50285	1.51462	1.53861	1.57412	1.61625	1.66072	1.7038	1.74637	1.79101	1.83732	1.88552	1.93732	1.99112	2.04247	2.08903	2.13174	2.1723	2.21424	2.25768	2.29289	2.31215	2.32114	2.33195	2.34879	2.36497	2.37332	2.37405	2.37325	2.3754	2.38282
9	-0.0231977	-0.0182206	-0.010638	0.00121465	0.0196294	0.0465219	0.0849022	0.139251	0.21571	0.318525	0.43614	0.534725	0.580739	0.573521	0.546469	0.534599	0.549565	0.585311	0.634244	0.690059	0.747259	0.804299	0.856995	0.895164	0.913049	0.914212	0.908733	0.907621	0.914058	0.921481	0.92139	0.912234	0.902114	0.900598	0.909127	0.924565	0.947957	0.983789	1.03226	1.08368	1.12106	1.13559	1.13762	1.14046	1.14319	1.13924	1.12854	1.11518	1.10175	1.09029	1.08274	1.07811	1.077	1.08617	1.11082	1.14461	1.16996	1.17294	1.16067	1.15315	1.15876	1.1705	1.1753	1.16182	1.13345	1.11135	1.11434	1.13317	1.13376	1.09903	1.05116	1.02026	1.01213	1.01315	1.01273	1.01234	1.01605	1.02236	1.0294	1.04029	1.05666	1.07512	1.09597	1.12473	1.16172	1.19965	1.2319	1.25855	1.28466	1.31402	1.34605	1.38109	1.42206	1.46289	1.48936	1.50032	1.51188	1.53712	1.57604	1.62139	1.66498	1.7049	1.74512	1.78723	1.83218	1.88377	1.941	1.99673	2.04639	2.08988	2.13057	2.17278	2.21802	2.26158	2.29297	2.30969	2.32073	2.33517	2.35438	2.37093	2.37838	2.37881	2.378	2.37879	2.38309
